ind,cs,w,r2,peak
1,1,0.289089771651208,0.8139678626929,1.11340206185567
1,2,0.31093263057922,0.778770994038887,1.1497005988024
1,3,0.292211313787329,0.80899224573961,1.12286689419795
1,1,0.289906475341424,0.829507041107502,1.09688581314879
1,2,0.296667884806451,0.79848098413055,1.08823529411765
1,3,0.295682144685186,0.824804098192759,1.09342560553633
1,1,0.284082944155578,0.8175049399006,1.1046511627907
1,2,0.315630599538622,0.779454020472867,1.18316831683168
1,3,0.279858149894172,0.81915839087529,1.12138728323699
1,1,0.298091494120719,0.807499055235033,1.15094339622642
1,2,0.320899689910153,0.772512333773842,1.19597989949749
1,3,0.284684291363155,0.822212546993356,1.11046511627907
1,1,0.312399353978394,0.787435439164177,1.15217391304348
1,2,0.40935173865225,0.643186961769614,1.34408602150538
1,3,0.317231852125001,0.780830185277552,1.14606741573034
1,1,0.270406207109645,0.841815028246353,1.12631578947368
1,2,0.351036297793268,0.718910320178519,1.20792079207921
1,3,0.296134506088679,0.800165642070768,1.13978494623656
2,1,0.302326405637003,0.812219508906133,1.096
2,2,0.364125199789488,0.718155428335443,1.2271186440678
2,3,0.308143710603716,0.791359647205818,1.11068702290076
2,1,0.30260527061513,0.808241977551061,1.0590405904059
2,2,0.374084659403872,0.706513594260484,1.24013157894737
2,3,0.312262076229116,0.792756090777997,1.10181818181818
2,1,0.294555646032531,0.810048259347696,1.14556962025316
2,2,0.398204145572942,0.655553696397537,1.33333333333333
2,3,0.27973767661167,0.822114229473342,1.09356725146199
2,1,0.307598501155213,0.80955480532807,1.11194029850746
2,2,0.360199778385914,0.713477107731008,1.15294117647059
2,3,0.28491166611527,0.823962628959071,1.07333333333333
2,1,0.322832313184047,0.760906211502556,1.58333333333333
2,2,0.392989571633684,0.663933269952197,2.01315789473684
2,3,0.390101634060935,0.652010393229565,1.69354838709677
2,1,0.386950283453263,0.665886919461567,3
2,2,0.520480880548223,0.533411529805872,2.43137254901961
2,3,0.426013614127207,0.599955554719197,2.11627906976744
